"";"datum";"temp";"temp_min";"temp_max";"nieder"
"1";1949-01-01;6,6;1,5;9,2;4,3
"2";1949-01-02;2,4;0,5;7,1;2,3
"3";1949-01-03;2;0,1;5;0,1
"4";1949-01-04;2,4;-1,6;3,7;0
"5";1949-01-05;3,5;1,6;5,3;0
"6";1949-01-06;4,2;3;5,9;0
"7";1949-01-07;-0,3;-1,2;4;1
"8";1949-01-08;-0,3;-2,5;0,6;0,6
"9";1949-01-09;1,3;-1,7;3,3;1
"10";1949-01-10;-1,5;-3,8;1,8;0
"11";1949-01-11;-1,5;-5,3;-0,2;0,6
"12";1949-01-12;0,8;-0,5;3,1;1,6
"13";1949-01-13;0,4;-1,8;3,4;0
"14";1949-01-14;1;-1;1,6;0,9
"15";1949-01-15;3,8;1,3;5,8;0,1
"16";1949-01-16;5,6;0,9;8,2;1,4
"17";1949-01-17;6,6;4,4;7,6;3,9
"18";1949-01-18;7,4;6,1;9,2;0,2
"19";1949-01-19;8,6;5,9;10,7;0
"20";1949-01-20;6,4;4,7;8,4;0,9
"21";1949-01-21;6;3,6;7,3;2,7
"22";1949-01-22;3,6;1,2;6,1;0
"23";1949-01-23;-1,6;-4;3;0
"24";1949-01-24;-2;-6;3,2;0
"25";1949-01-25;-0,2;-4,1;5,3;0
"26";1949-01-26;-0,6;-4,5;5,3;0
"27";1949-01-27;0;-3,4;4,7;0
"28";1949-01-28;-4,1;-6,3;-0,5;0
"29";1949-01-29;-4,9;-6;-3,4;0
"30";1949-01-30;-3,6;-6,3;-1,5;0
"31";1949-01-31;2,6;-4;4,9;0,3
"32";1949-02-01;-0,2;-2,4;3,2;0
"33";1949-02-02;-4,1;-6,2;-0,2;0
"34";1949-02-03;-5,3;-10,2;0,3;0
"35";1949-02-04;-3,7;-10;4,2;0
"36";1949-02-05;-2,1;-10,7;2;0
"37";1949-02-06;-0,2;-3,3;2,5;0
"38";1949-02-07;-3,3;-9,8;-1;0
"39";1949-02-08;0,4;-3,3;2;0,7
"40";1949-02-09;5;-0,2;10,4;3,9
"41";1949-02-10;4,1;1;6,6;0
"42";1949-02-11;1,8;-1;7;0
"43";1949-02-12;0,2;-4,3;3,7;0,2
"44";1949-02-13;0,7;-1,6;5,5;0
"45";1949-02-14;-1,1;-4,7;0,5;0,1
"46";1949-02-15;2,1;-0,9;3,4;0
"47";1949-02-16;4,7;2;6,2;0
"48";1949-02-17;1,9;-2,5;10,5;0
"49";1949-02-18;0,3;-2,2;4,3;0
"50";1949-02-19;-0,9;-3,5;1,3;0
"51";1949-02-20;2,6;-4,1;9,8;0
"52";1949-02-21;2,6;-2,6;11,6;1,4
"53";1949-02-22;4,2;-1,7;11;0
"54";1949-02-23;7,3;-1,3;11,4;0
"55";1949-02-24;8;6,3;10,8;8,5
"56";1949-02-25;4,7;-1,5;8;0
"57";1949-02-26;4,5;1,6;6,7;0
"58";1949-02-27;3,6;0,6;8;2,1
"59";1949-02-28;1,6;-0,4;6,2;0
"60";1949-03-01;2,4;-1,1;6,8;0
"61";1949-03-02;-2;-3,9;1,2;5,1
"62";1949-03-03;-2;-6,6;1,2;0
"63";1949-03-04;-4,6;-9,6;0,1;0
"64";1949-03-05;-4,3;-10;-0,1;0
"65";1949-03-06;-3,4;-6,7;-0,7;0
"66";1949-03-07;-2,4;-5,5;0,5;0
"67";1949-03-08;-1,8;-7,5;2,5;0
"68";1949-03-09;1,4;-5,5;6,1;0
"69";1949-03-10;3,5;1;5,7;7,2
"70";1949-03-11;4,8;2,2;6,4;0
"71";1949-03-12;7,1;2,6;11,4;0
"72";1949-03-13;7;2,4;8,8;1,5
"73";1949-03-14;8,9;6;10,6;9,8
"74";1949-03-15;4,2;2;9;0,1
"75";1949-03-16;4,5;1,1;5,9;3,8
"76";1949-03-17;4,5;0,6;6,3;3,4
"77";1949-03-18;4,4;2,5;6,4;0
"78";1949-03-19;0,6;-1,5;3,6;0
"79";1949-03-20;-0,3;-3,3;4,6;0
"80";1949-03-21;0;-6,2;6,9;0
"81";1949-03-22;3,5;-4,4;9,6;0
"82";1949-03-23;6,6;-2;13,4;0
"83";1949-03-24;9,1;3,2;17,4;0
"84";1949-03-25;8;2,6;16,6;0
"85";1949-03-26;8,6;0,2;18,6;0
"86";1949-03-27;13;7,2;19,5;0
"87";1949-03-28;13,6;6,7;21,5;0
"88";1949-03-29;13,8;6,6;21,7;0
"89";1949-03-30;12,6;5,6;21,7;0
"90";1949-03-31;11,2;2;19,4;0
"91";1949-04-01;11,4;1,2;19;0
"92";1949-04-02;12;5,2;21,2;0
"93";1949-04-03;12,5;6,9;16,5;0
"94";1949-04-04;16,2;7,2;21,8;0,4
"95";1949-04-05;13,4;9;17,7;1,6
"96";1949-04-06;15,1;9,6;18,3;3,1
"97";1949-04-07;7;4;15,6;1,8
"98";1949-04-08;4,9;2;9,7;0
"99";1949-04-09;3,8;-0,2;7;0,6
"100";1949-04-10;6,1;0,7;11,7;0
"101";1949-04-11;12,6;2,5;19;0
"102";1949-04-12;12,9;9,8;15;3,3
"103";1949-04-13;15,9;11,4;24,1;0
"104";1949-04-14;13,7;7;20,6;0
"105";1949-04-15;15,4;8,1;24;0
"106";1949-04-16;17,4;8,4;24,5;0
"107";1949-04-17;17,6;7,3;27,4;0
"108";1949-04-18;20,8;9,4;30,3;0
"109";1949-04-19;15,7;12,6;20,4;0
"110";1949-04-20;12;9;16;0
"111";1949-04-21;15,3;4,1;23,2;0
"112";1949-04-22;10,5;8,2;16,4;0,1
"113";1949-04-23;11,2;0,5;18,3;0
"114";1949-04-24;14,7;3,9;24,4;0
"115";1949-04-25;14,2;7,9;26,3;5
"116";1949-04-26;7,7;5;11,6;1,2
"117";1949-04-27;10,8;4,7;13,3;0
"118";1949-04-28;12,6;8,9;17;0
"119";1949-04-29;12,3;7,1;19,1;1
"120";1949-04-30;8,4;2,3;11,4;0
"121";1949-05-01;10,6;3,7;14,7;0
"122";1949-05-02;14,6;5,7;19,5;0
"123";1949-05-03;18,1;10,7;25,5;0
"124";1949-05-04;19,1;11,9;25,7;1,3
"125";1949-05-05;17;10,6;20,3;0
"126";1949-05-06;11,6;8,2;17,6;1,2
"127";1949-05-07;11,2;6,6;15,2;0
"128";1949-05-08;9,3;1,8;12,9;0
"129";1949-05-09;6,4;3,4;10,1;1,1
"130";1949-05-10;7,3;0,7;12;0
"131";1949-05-11;9,7;-1,7;14,6;0
"132";1949-05-12;12,7;7;16,2;0
"133";1949-05-13;14,2;10,8;16,7;0,7
"134";1949-05-14;13,2;9;18;0,7
"135";1949-05-15;11;8,2;13,4;16,1
"136";1949-05-16;13,6;7,6;19,6;1,7
"137";1949-05-17;14,9;12,3;21,9;3,4
"138";1949-05-18;16,4;10,5;17,7;0
"139";1949-05-19;14,8;10,2;20;27,8
"140";1949-05-20;15,5;13,1;18,1;0,9
"141";1949-05-21;16,2;11,8;20,2;0
"142";1949-05-22;15,8;12,5;18,9;0
"143";1949-05-23;16,7;11,6;21,6;0
"144";1949-05-24;14,1;10,2;18,8;5,9
"145";1949-05-25;13;8,4;17,5;0
"146";1949-05-26;13,9;8,4;17,5;4,2
"147";1949-05-27;14;8,3;18,3;0
"148";1949-05-28;17,6;4;24,8;2,4
"149";1949-05-29;16,7;9,7;25;7,1
"150";1949-05-30;17,2;11,7;19,9;2,7
"151";1949-05-31;12,9;11,2;17,3;1,8
"152";1949-06-01;14,6;5,5;19,2;0
"153";1949-06-02;14,6;9,8;19,6;2,5
"154";1949-06-03;16,2;10,3;20,6;5
"155";1949-06-04;14,5;10,5;19,5;5,3
"156";1949-06-05;13,9;8;18,4;0
"157";1949-06-06;16,8;6;22,1;0
"158";1949-06-07;21,5;9,8;28,7;0
"159";1949-06-08;21,3;16,4;26,6;0,4
"160";1949-06-09;19,3;16,6;23,5;0,5
"161";1949-06-10;16;14,5;19,3;0
"162";1949-06-11;15,5;7,1;21,2;0,7
"163";1949-06-12;13,4;11,3;18,3;0
"164";1949-06-13;17,8;6;22,1;0
"165";1949-06-14;14,4;11,2;21,3;0,1
